id,ident,name,type,latitude_deg,longitude_deg,iso_country,country_name,iso_region,iata_code
3,AGGH,Honiara International Airport,large_airport,-9.428,160.054993,SB,Solomon Islands,SB-GU,HIR
4,AGGM,Munda Airport,medium_airport,-8.32797,157.263,SB,Solomon Islands,SB-WE,MUA
8,ANYN,Nauru International Airport,medium_airport,-0.547893,166.919525,NR,Nauru,NR-14,INU
53,AYBK,Buka Airport,medium_airport,-5.422299,154.672698,PG,Papua New Guinea,PG-NSB,BUA
54,AYCH,Chimbu Airport,medium_airport,-6.024290084838867,144.9709930419922,PG,Papua New Guinea,PG-CPK,CMU
55,AYDU,Daru Airport,medium_airport,-9.08676,143.207993,PG,Papua New Guinea,PG-WPD,DAU
56,AYGA,Goroka Airport,medium_airport,-6.081689834590001,145.391998291,PG,Papua New Guinea,PG-EHG,GKA
57,AYGN,Gurney Airport,medium_airport,-10.3114995956,150.333999634,PG,Papua New Guinea,PG-MBA,GUR
58,AYGR,Girua Airport,medium_airport,-8.80453968048,148.309005737,PG,Papua New Guinea,PG-NPP,PNP
59,AYHK,Hoskins Airport,medium_airport,-5.463846,150.407327,PG,Papua New Guinea,PG-WBK,HKN
60,AYKM,Kerema Airport,medium_airport,-7.96361017227,145.770996094,PG,Papua New Guinea,PG-GPK,KMA
61,AYKV,Kavieng Airport,medium_airport,-2.57940006256,150.807998657,PG,Papua New Guinea,PG-NIK,KVG
62,AYMD,Madang Airport,medium_airport,-5.20707988739,145.789001465,PG,Papua New Guinea,PG-MPM,MAG
63,AYMH,Mount Hagen Kagamuga Airport,medium_airport,-5.828212,144.299412,PG,Papua New Guinea,PG-WHM,HGU
64,AYMN,Mendi Airport,medium_airport,-6.14774,143.656998,PG,Papua New Guinea,PG-SHM,MDU
65,AYMO,Momote Airport,medium_airport,-2.06189,147.423996,PG,Papua New Guinea,PG-MRL,MAS
66,AYNZ,Nadzab Tomodachi International Airport,large_airport,-6.567995,146.726544,PG,Papua New Guinea,PG-MPL,LAE
67,AYPY,Port Moresby Jacksons International Airport,large_airport,-9.44338035583496,147.22000122070312,PG,Papua New Guinea,PG-NCD,POM
68,AYTK,Tokua Airport,medium_airport,-4.34046,152.380005,PG,Papua New Guinea,PG-EBR,RAB
